"Numéro du répondant";"Questionnaire les habitudes de consommation de café ou de thé :";"Quel âge avez-vous ?";"Quel est votre sexe ?";"Que préférez-vous consommer le plus souvent ?";"Je ne peux pas bien commencer ma journée sans café ou thé ?";"Je suis satisfait(e) de la qualité du café/thé que je consomme habituellement ?"
1;;19;Homme;Thé;"Pas du tout d’accord";"Tout à fait d’accord"
2;;26;Femme;Thé;"Pas du tout d’accord";D’accord
3;;13;Femme;Thé;"Pas d’accord";Neutre
4;1;21;Femme;Thé;"Pas du tout d’accord";Neutre
5;1;19;Femme;Thé;Neutre;Neutre
6;2;46;Femme;Thé;Neutre;Neutre
7;;19;Femme;Thé;"Pas d’accord";D’accord
8;1;22;Femme;Thé;"Pas du tout d’accord";Neutre
9;;16;Femme;Thé;"Pas du tout d’accord";D’accord
10;;25;Femme;Thé;"Pas du tout d’accord";D’accord
11;5;21;Femme;Café;Neutre;D’accord
12;5;22;Homme;Thé;Neutre;"Pas d’accord"
13;;21;Femme;Café;"Pas d’accord";D’accord
14;;57;Femme;Café;"Tout à fait d’accord";"Tout à fait d’accord"
15;;19;Femme;Thé;D’accord;"Tout à fait d’accord"
16;;59;Femme;Café;"Tout à fait d’accord";D’accord
17;;19;Homme;Thé;"Pas du tout d’accord";Neutre
18;;23;Homme;Café;"Tout à fait d’accord";Neutre
19;5;20;Femme;Thé;"Pas d’accord";"Tout à fait d’accord"
20;;18;Homme;"aucun des deux";"Pas du tout d’accord";Neutre
21;;37;Femme;Café;D’accord;"Pas d’accord"
22;;42;Femme;Thé;"Pas du tout d’accord";D’accord
23;;16;Homme;Thé;Neutre;D’accord
24;4;20;Femme;Thé;Neutre;Neutre
25;;16;Homme;Café;"Pas du tout d’accord";D’accord
26;;13;Homme;Thé;"Pas du tout d’accord";"Tout à fait d’accord"
27;;20;Homme;"aucun des deux";"Pas du tout d’accord";"Tout à fait d’accord"
28;4;22;Homme;Thé;"Pas d’accord";"Pas d’accord"
29;;16;Femme;Thé;"Pas du tout d’accord";"Tout à fait d’accord"
30;;16;Femme;Thé;"Pas d’accord";D’accord
31;;16;Femme;"aucun des deux";"Pas du tout d’accord";Neutre
32;;21;Femme;Café;Neutre;D’accord
33;;17;Homme;Thé;"Pas du tout d’accord";D’accord
34;;17;Femme;Thé;"Pas du tout d’accord";D’accord
35;;17;Femme;Thé;"Pas d’accord";Neutre
36;;19;Femme;"aucun des deux";"Pas du tout d’accord";Neutre
37;;17;Femme;Thé;"Pas du tout d’accord";"Tout à fait d’accord"
38;;16;Femme;Thé;Neutre;"Tout à fait d’accord"
39;;18;Femme;"aucun des deux";"Pas du tout d’accord";Neutre
40;;16;Femme;Thé;"Pas du tout d’accord";D’accord
41;3;20;Femme;Thé;"Pas du tout d’accord";Neutre
42;;20;Femme;Café;"Pas du tout d’accord";D’accord
43;5;20;Femme;Café;Neutre;"Tout à fait d’accord"
44;;18;Femme;Thé;Neutre;"Tout à fait d’accord"
45;;18;Femme;Thé;"Pas du tout d’accord";D’accord
46;;19;Femme;Thé;Neutre;"Tout à fait d’accord"
47;;18;Femme;"aucun des deux";"Pas du tout d’accord";Neutre
48;5;19;Femme;Café;"Pas d’accord";D’accord
49;;16;Femme;Thé;"Pas d’accord";D’accord
50;2;18;Femme;Thé;"Pas du tout d’accord";D’accord
51;;19;Femme;Thé;"Pas du tout d’accord";Neutre
52;2;18;Femme;Thé;"Pas d’accord";D’accord
53;;18;Femme;"aucun des deux";"Pas du tout d’accord";"Pas du tout d’accord"
54;3;20;Femme;Thé;Neutre;Neutre
55;;20;Homme;Thé;"Pas du tout d’accord";D’accord
56;5;19;Homme;Thé;"Pas du tout d’accord";Neutre
