Page 1;Page 2;Page 3;Page 4;Page 5;Page 6;Page 7;Page 8;Page 9;Page 10;Page 11;Page 12;Page 13;Page 14
1;1;1;1;1;1;1;1;1;1;1;1;1;1
Quel est votre sexe ?;Quel est votre sexe ?;Quel est votre sexe ?;Quel est votre sexe ?;Quel est votre sexe ?;Quel est votre sexe ?;Quel est votre sexe ?;Quel est votre sexe ?;Quel est votre sexe ?;Quel est votre sexe ?;Quel est votre sexe ?;Quel est votre sexe ?;Quel est votre sexe ?;Quel est votre sexe ?
Homme;Femme;Femme;Femme;Femme;Femme;Femme;Femme;Femme;Femme;Femme;Femme;Femme;Homme
2;2;2;2;2;2;2;2;2;2;2;2;2;2
Quel est votre principale critère d'achat pour un produit Bio ?;Quel est votre principale critère d'achat pour un produit Bio ?;Quel est votre principale critère d'achat pour un produit Bio ?;Quel est votre principale critère d'achat pour un produit Bio ?;Quel est votre principale critère d'achat pour un produit Bio ?;Quel est votre principale critère d'achat pour un produit Bio ?;Quel est votre principale critère d'achat pour un produit Bio ?;Quel est votre principale critère d'achat pour un produit Bio ?;Quel est votre principale critère d'achat pour un produit Bio ?;Quel est votre principale critère d'achat pour un produit Bio ?;Quel est votre principale critère d'achat pour un produit Bio ?;Quel est votre principale critère d'achat pour un produit Bio ?;Quel est votre principale critère d'achat pour un produit Bio ?;Quel est votre principale critère d'achat pour un produit Bio ?
le gout;le gout;La santé;La santé;le gout;La santé;La santé;La santé;La santé;l'environnement;le gout;Autre (veuillez préciser):;l'environnement;La santé
3;3;3;3;3;3;3;3;3;3;3;Le prix;3;3
Quel est votre age ?;Quel est votre age ?;Quel est votre age ?;Quel est votre age ?;Quel est votre age ?;Quel est votre age ?;Quel est votre age ?;Quel est votre age ?;Quel est votre age ?;Quel est votre age ?;Quel est votre age ?;3;Quel est votre age ?;Quel est votre age ?
17;17;17;19;17;16;18 ans;16;20 ans;18;19;Quel est votre age ?;20;20
4;4;4;4;4;4;4;4;4;4;4;16;4;4
Environ combien d'euros dépensez-vous par mois pour l'achat de produits Bio ?;Environ combien d'euros dépensez-vous par mois pour l'achat de produits Bio ?;Environ combien d'euros dépensez-vous par mois pour l'achat de produits Bio ?;Environ combien d'euros dépensez-vous par mois pour l'achat de produits Bio ?;Environ combien d'euros dépensez-vous par mois pour l'achat de produits Bio ?;Environ combien d'euros dépensez-vous par mois pour l'achat de produits Bio ?;Environ combien d'euros dépensez-vous par mois pour l'achat de produits Bio ?;Environ combien d'euros dépensez-vous par mois pour l'achat de produits Bio ?;Environ combien d'euros dépensez-vous par mois pour l'achat de produits Bio ?;Environ combien d'euros dépensez-vous par mois pour l'achat de produits Bio ?;Environ combien d'euros dépensez-vous par mois pour l'achat de produits Bio ?;4;Environ combien d'euros dépensez-vous par mois pour l'achat de produits Bio ?;Environ combien d'euros dépensez-vous par mois pour l'achat de produits Bio ?
Jsp;0 €;0;15 €;0 €;10;100 €;Environ 20;100 €;5;Aucune idée c’est pas moi qui fait les course;Environ combien d'euros dépensez-vous par mois pour l'achat de produits Bio ?;0;80
5;5;5;5;5;5;5;5;5;5;5;0 €;5;5
"""Je pense que les produits Bio sont trop cher par rapport aux produits classiques.""";"""Je pense que les produits Bio sont trop cher par rapport aux produits classiques.""";"""Je pense que les produits Bio sont trop cher par rapport aux produits classiques.""";"""Je pense que les produits Bio sont trop cher par rapport aux produits classiques.""";"""Je pense que les produits Bio sont trop cher par rapport aux produits classiques.""";"""Je pense que les produits Bio sont trop cher par rapport aux produits classiques.""";"""Je pense que les produits Bio sont trop cher par rapport aux produits classiques.""";"""Je pense que les produits Bio sont trop cher par rapport aux produits classiques.""";"""Je pense que les produits Bio sont trop cher par rapport aux produits classiques.""";"""Je pense que les produits Bio sont trop cher par rapport aux produits classiques.""";"""Je pense que les produits Bio sont trop cher par rapport aux produits classiques.""";5;"""Je pense que les produits Bio sont trop cher par rapport aux produits classiques.""";"""Je pense que les produits Bio sont trop cher par rapport aux produits classiques."""
D'accord;Tout à fait d'accord;Tout à fait d'accord;Neutre;Tout à fait d'accord;D'accord;Tout à fait d'accord;Tout à fait d'accord;D'accord;Tout à fait d'accord;Tout à fait d'accord;"""Je pense que les produits Bio sont trop cher par rapport aux produits classiques.""";Tout à fait d'accord;D'accord
6;6;6;6;6;6;6;6;6;6;6;Pas d'accord;6;6
